date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:43:02	24/24	------	200	untouched ('OK')	text/plain	etag:%2218-607430e6e63c6%22	https://themesbrand.com/robots.txt		(from )
08:43:02	299113/299113	------	200	untouched ('OK')	text/html	etag:%2249069-6074310229c4f-gzip%22	https://themesbrand.com/velzon/html/default/index.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/index.html	(from )
08:43:03	113853/113853	------	200	untouched ('')	image/vnd.microsoft.icon	etag:%221bcbd-6074310184bab%22	https://themesbrand.com/velzon/html/default/assets/images/favicon.ico	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/favicon.ico	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:03	2144/2144	------	200	untouched ('OK')	text/css	etag:%22860-60743101f602d-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/jsvectormap/css/jsvectormap.min.css	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:03	17905/17905	------	200	untouched ('OK')	text/css	etag:%2245f1-607431021060e-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/swiper/swiper-bundle.min.css	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/libs/swiper/swiper-bundle.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:04	1237/1237	---M-Z	200	added ('OK')	application/javascript	etag:%224d5-60743101964eb-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/layout.js	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/js/layout.js	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:05	282290/282290	---M-Z	200	added ('OK')	text/css	etag:%2244eb2-60743101676ea-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/bootstrap.min.css	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/css/bootstrap.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:07	556862/556862	---MCZ	200	added ('OK')	text/css	etag:%2287f3e-607431016e44a-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/icons.min.css	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/css/icons.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:07	44/44	---M--	200	added ('OK')	text/css	etag:%222c-60743101676ea%22	https://themesbrand.com/velzon/html/default/assets/css/custom.min.css	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/css/custom.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:08	7222/7222	---M--	200	added ('OK')	image/png	etag:%221c36-607431018c8ab%22	https://themesbrand.com/velzon/html/default/assets/images/logo-sm.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/logo-sm.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:08	3960/3960	---M--	200	added ('OK')	image/png	etag:%22f78-607431018c8ab%22	https://themesbrand.com/velzon/html/default/assets/images/logo-dark.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/logo-dark.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:08	3722/3722	---M--	200	added ('OK')	image/png	etag:%22e8a-607431018c8ab%22	https://themesbrand.com/velzon/html/default/assets/images/logo-light.png	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/logo-light.png	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:09	339087/339087	---M-Z	200	added ('OK')	text/css	etag:%2252c8f-607431016674a-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/app.min.css	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/css/app.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:09	17336/17336	---M--	200	added ('OK')	image/jpeg	etag:%2243b8-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-2.jpg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/users/avatar-2.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:09	11267/11267	---M--	200	added ('OK')	image/jpeg	etag:%222c03-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-3.jpg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:09	11561/11561	---M--	200	added ('OK')	image/jpeg	etag:%222d29-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-5.jpg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/users/avatar-5.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:10	297516/297516	---M-Z	200	added ('OK')	text/html	etag:%2248a2c-60743102309af-gzip%22	https://themesbrand.com/velzon/html/default/pages-search-results.html	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/pages-search-results.html	(from https://themesbrand.com/velzon/html/default/index.html)
08:43:10	16289/16289	---M--	200	added ('OK')	image/svg+xml	etag:%223fa1-607431018a96b%22	https://themesbrand.com/velzon/html/default/assets/images/flags/us.svg	C:/Users/DELL/Downloads/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/us.svg	(from https://themesbrand.com/velzon/html/default/index.html)
